dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.426073,3.171390,0.000016,0.001559,0.077938,3.896892,0.000499
0.020000,1.426078,3.171390,0.000021,0.000256,-0.065122,-7.152994,0.000479
0.020000,1.426090,3.171390,0.000032,0.000577,0.016018,4.057016,0.000433
0.020000,1.426110,3.171390,0.000053,0.001025,0.022422,0.320162,0.000351
0.020000,1.426142,3.171390,0.000085,0.001601,0.028819,0.319849,0.000223
0.020000,1.426188,3.171390,0.000131,0.002306,0.035205,0.319337,0.000038
0.020000,1.426899,3.171390,0.000842,0.035533,1.661362,81.307827,6.282972
0.020000,1.427978,3.171389,0.001921,0.053975,0.922133,-36.961424,6.282645
0.020000,1.429345,3.171388,0.003287,0.068311,0.716779,-10.267720,6.282230
0.020000,1.431031,3.171386,0.004974,0.084330,0.800971,4.209586,6.281719
0.020000,1.433072,3.171383,0.007015,0.102034,0.885184,4.210675,6.281100
0.020000,1.435500,3.171377,0.009443,0.121421,0.969335,4.207540,6.280365
0.020000,1.438350,3.171368,0.012293,0.142489,1.053382,4.202352,6.279503
0.020000,1.441655,3.171354,0.015597,0.165237,1.137426,4.202177,6.278505
0.020000,1.445448,3.171334,0.019391,0.189664,1.221358,4.196599,6.277361
0.020000,1.449763,3.171306,0.023706,0.215768,1.305167,4.190496,6.276061
0.020000,1.454634,3.171268,0.028577,0.243546,1.388910,4.187136,6.274597
0.020000,1.460094,3.171216,0.034037,0.272996,1.472519,4.180439,6.272958
0.020000,1.466176,3.171149,0.040119,0.304114,1.555884,4.168255,6.271138
0.020000,1.472913,3.171061,0.046857,0.336898,1.639231,4.167356,6.269126
0.020000,1.480339,3.170948,0.054284,0.371344,1.722277,4.152279,6.266915
0.020000,1.488487,3.170805,0.062433,0.407447,1.805128,4.142585,6.264497
0.020000,1.497389,3.170627,0.071337,0.445201,1.887714,4.129284,6.261864
0.020000,1.507079,3.170407,0.081029,0.484604,1.970153,4.121942,6.259009
0.020000,1.517588,3.170137,0.091542,0.525647,2.052142,4.099439,6.255926
0.020000,1.528950,3.169808,0.102909,0.568323,2.133831,4.084481,6.252609
0.020000,1.541196,3.169412,0.115161,0.612628,2.215212,4.069035,6.249053
0.020000,1.554358,3.168937,0.128332,0.658549,2.296095,4.044166,6.245251
0.020000,1.568469,3.168373,0.142454,0.706081,2.376571,4.023798,6.241201
0.020000,1.583558,3.167706,0.157558,0.755212,2.456570,3.999922,6.236899
0.020000,1.599658,3.166924,0.173677,0.805931,2.535956,3.969321,6.232343
0.020000,1.616798,3.166010,0.190841,0.858228,2.614805,3.942429,6.227532
0.020000,1.635009,3.164949,0.209083,0.912087,2.692958,3.907671,6.222464
0.020000,1.654320,3.163724,0.228433,0.967496,2.770455,3.874840,6.217141
