dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.426198,2.921390,0.000016,0.001559,0.077938,3.896892,0.000499
0.020000,1.426198,2.921390,0.000078,0.004676,0.155876,3.896892,0.000479
0.020000,1.426198,2.921390,0.000218,0.009353,0.233814,3.896892,0.000433
0.020000,1.426198,2.921390,0.000468,0.015588,0.311751,3.896892,0.000351
0.020000,1.426198,2.921390,0.000857,0.023381,0.389689,3.896892,0.000223
0.020000,1.426198,2.921390,0.001418,0.032734,0.467627,3.896892,0.000038
0.020000,1.426846,2.921390,0.002182,0.043645,0.545565,3.896892,6.282972
0.020000,1.427843,2.921390,0.003180,0.056115,0.623503,3.896892,6.282645
0.020000,1.429106,2.921389,0.004442,0.070144,0.701441,3.896892,6.282230
0.020000,1.430665,2.921387,0.006001,0.085732,0.779378,3.896892,6.281719
0.020000,1.432551,2.921383,0.007887,0.102878,0.857316,3.896892,6.281100
0.020000,1.434795,2.921378,0.010132,0.121583,0.935254,3.896892,6.280365
0.020000,1.437430,2.921369,0.012766,0.141847,1.013192,3.896892,6.279503
0.020000,1.440485,2.921356,0.015821,0.163669,1.091130,3.896892,6.278505
0.020000,1.443992,2.921338,0.019329,0.187051,1.169068,3.896892,6.277361
0.020000,1.447982,2.921312,0.023319,0.211991,1.247005,3.896892,6.276061
0.020000,1.452487,2.921277,0.027824,0.238490,1.324943,3.896892,6.274597
0.020000,1.457537,2.921229,0.032874,0.266547,1.402881,3.896892,6.272958
0.020000,1.463164,2.921167,0.038501,0.296164,1.480819,3.896892,6.271138
0.020000,1.469398,2.921085,0.044736,0.327339,1.558757,3.896892,6.269126
0.020000,1.476272,2.920981,0.051610,0.360073,1.636695,3.896892,6.266915
0.020000,1.483815,2.920849,0.059155,0.394365,1.714632,3.896892,6.264497
0.020000,1.492059,2.920684,0.067401,0.430217,1.792570,3.896892,6.261864
0.020000,1.501035,2.920480,0.076379,0.467627,1.870508,3.896892,6.259009
0.020000,1.510774,2.920229,0.086121,0.506596,1.948446,3.896892,6.255926
0.020000,1.521307,2.919925,0.096659,0.547124,2.026384,3.896892,6.252609
0.020000,1.532664,2.919557,0.108022,0.589210,2.104322,3.896892,6.249053
0.020000,1.544877,2.919117,0.120242,0.632855,2.182259,3.896892,6.245251
0.020000,1.557976,2.918593,0.133352,0.678059,2.260197,3.896892,6.241201
0.020000,1.571991,2.917974,0.147380,0.724822,2.338135,3.896892,6.236899
0.020000,1.586953,2.917247,0.162360,0.773143,2.416073,3.896892,6.232343
0.020000,1.602892,2.916397,0.178322,0.823024,2.494011,3.896892,6.227532
0.020000,1.619838,2.915410,0.195297,0.874462,2.571949,3.896892,6.222464
0.020000,1.637821,2.914269,0.213316,0.927460,2.649886,3.896892,6.217141
0.020000,1.656855,2.912956,0.232395,0.980458,2.649886,0.000000,6.211570
0.020000,1.676938,2.911457,0.252534,1.033456,2.649886,0.000000,6.205762
0.020000,1.698069,2.909753,0.273733,1.086453,2.649886,-0.000000,6.199730
0.020000,1.720244,2.907828,0.295992,1.139451,2.649886,0.000000,6.193488
0.020000,1.743463,2.905665,0.319311,1.192449,2.649886,0.000000,6.187051
0.020000,1.767721,2.903244,0.343690,1.245447,2.649886,-0.000000,6.180435
0.020000,1.793017,2.900549,0.369129,1.298444,2.649886,0.000000,6.173657
0.020000,1.819347,2.897561,0.395628,1.351442,2.649886,0.000000,6.166733
0.020000,1.846707,2.894262,0.423187,1.404440,2.649886,0.000000,6.159683
0.020000,1.875095,2.890634,0.451806,1.457437,2.649886,-0.000000,6.152526
0.020000,1.904506,2.886661,0.481484,1.510435,2.649886,0.000000,6.145283
0.020000,1.934938,2.882323,0.512223,1.563433,2.649886,0.000000,6.137975
0.020000,1.966384,2.877606,0.544022,1.616431,2.649886,0.000000,6.130623
0.020000,1.998842,2.872492,0.576880,1.669428,2.649886,-0.000000,6.123252
0.020000,2.032308,2.866967,0.610799,1.722426,2.649886,0.000000,6.115884
0.020000,2.066776,2.861015,0.645777,1.775424,2.649886,-0.000000,6.108544
0.020000,2.102243,2.854623,0.681816,1.828422,2.649886,0.000000,6.101258
0.020000,2.138705,2.847778,0.718914,1.881419,2.649886,-0.000000,6.094051
0.020000,2.176156,2.840470,0.757073,1.934417,2.649886,0.000000,6.086949
0.020000,2.214595,2.832688,0.796291,1.987415,2.649886,-0.000000,6.079980
0.020000,2.254016,2.824424,0.836569,2.040412,2.649886,0.000000,6.073172
0.020000,2.294417,2.815672,0.877907,2.093410,2.649886,0.000000,6.066552
0.020000,2.335795,2.806424,0.920306,2.146408,2.649886,0.000000,6.060149
0.020000,2.378146,2.796680,0.963764,2.199406,2.649886,-0.000000,6.053992
0.020000,2.421470,2.786437,1.008282,2.252403,2.649886,0.000000,6.048111
0.020000,2.465764,2.775696,1.053860,2.305401,2.649886,-0.000000,6.042535
0.020000,2.511028,2.764460,1.100498,2.358399,2.649886,0.000000,6.037296
0.020000,2.557262,2.752735,1.148196,2.411397,2.649886,0.000000,6.032423
