dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.426323,2.671390,0.000016,0.001559,0.077938,3.896892,0.000499
0.020000,1.426318,2.671390,0.000021,0.000256,-0.065122,-7.152994,0.000479
0.020000,1.426306,2.671390,0.000032,0.000577,0.016018,4.057016,0.000433
0.020000,1.426285,2.671390,0.000053,0.001025,0.022422,0.320162,0.000351
0.020000,1.426253,2.671390,0.000085,0.001601,0.028819,0.319849,0.000223
0.020000,1.426207,2.671390,0.000131,0.002306,0.035205,0.319337,0.000038
0.020000,1.426793,2.671390,0.000716,0.029258,1.347638,65.621616,6.282972
0.020000,1.427708,2.671390,0.001632,0.045784,0.826269,-26.068436,6.282645
0.020000,1.428867,2.671389,0.002791,0.057948,0.608234,-10.901741,6.282230
0.020000,1.430298,2.671387,0.004222,0.071545,0.679835,3.580026,6.281719
0.020000,1.432030,2.671384,0.005953,0.086576,0.751528,3.584692,6.281100
0.020000,1.434090,2.671379,0.008014,0.103041,0.823261,3.586631,6.280365
0.020000,1.436509,2.671371,0.010433,0.120941,0.895017,3.587783,6.279503
0.020000,1.439315,2.671359,0.013238,0.140279,0.966902,3.594252,6.278505
0.020000,1.442536,2.671342,0.016459,0.161056,1.038848,3.597310,6.277361
0.020000,1.446201,2.671319,0.020125,0.183274,1.110872,3.601219,6.276061
0.020000,1.450340,2.671286,0.024264,0.206935,1.183050,3.608886,6.274597
0.020000,1.454980,2.671242,0.028904,0.232042,1.255356,3.615286,6.272958
0.020000,1.460152,2.671185,0.034076,0.258596,1.327730,3.618739,6.271138
0.020000,1.465884,2.671110,0.039808,0.286604,1.400404,3.633667,6.269126
0.020000,1.472204,2.671014,0.046130,0.316068,1.473176,3.638598,6.266915
0.020000,1.479143,2.670893,0.053070,0.346992,1.546183,3.650347,6.264497
0.020000,1.486729,2.670741,0.060657,0.379380,1.619412,3.661471,6.261864
0.020000,1.494992,2.670553,0.068922,0.413240,1.693019,3.680336,6.259009
0.020000,1.503960,2.670322,0.077894,0.448576,1.766802,3.689169,6.255926
0.020000,1.513664,2.670042,0.087602,0.485395,1.840953,3.707555,6.252609
0.020000,1.524133,2.669703,0.098076,0.523706,1.915532,3.728912,6.249053
0.020000,1.535396,2.669297,0.109346,0.563515,1.990449,3.745860,6.245251
0.020000,1.547483,2.668813,0.121443,0.604832,2.065860,3.770563,6.241201
